Institution;Region;Country;Regional Rank;World Rank;National Rank;Alumni;Award;HiCi;N&S;PUB;PCP;Total Score
Harvard ;Americas;US;1;1;1;100;100;100;100;100;69,2;100
California, Berkeley;Americas;US;2;2;2;67,6;79,3;69;70,9;70,6;54,2;72,4
Stanford ;Americas;US;3;3;3;40,2;78,4;87,6;68,4;69,7;50,1;72,1
MIT;Americas;US;4;4;4;70,5;80,3;66,8;70,1;61,4;64,5;71,4
Cambridge;Europe;UK;1;5;1;88,5;92,6;53,9;54,3;65,7;53,1;69,6
California I of Tech;Americas;US;5;6;5;50,3;68,8;56,7;64,8;46,9;100;64,4
Princeton ;Americas;US;6;7;6;56,4;84,8;61,1;43,3;44,3;65,5;60,8
Columbia ;Americas;US;7;8;7;70,7;67,4;56,2;47,6;69,9;32,1;60,4
Chicago;Americas;US;8;9;8;65,5;83,9;50,9;39,8;50,5;40;57,3
Oxford;Europe;UK;2;10;2;56,2;57,6;48,8;49,8;68,5;41,1;56,4
Yale ;Americas;US;9;11;9;48,6;44,9;58,5;56,3;62;37;54,6
Cornell ;Americas;US;10;12;10;42,3;51,1;54,3;49,9;59,5;38,1;52,6
California, Los Angeles;Americas;US;11;13;11;27,2;42,6;56,9;49,2;75,1;31,2;52,2
California, San Diego;Americas;US;12;14;12;15,1;35,8;60,2;54,6;65,1;37,9;50
Pennsylvania;Americas;US;13;15;13;32,9;34,3;57,1;46,9;68,6;28,5;49
Washington;Americas;US;14;16;14;24,4;31,7;53,9;51,6;72,5;28,1;48,7
Wisconsin - Madison;Americas;US;15;17;15;36,5;35,4;51,9;40,2;66,1;25,7;46,4
The Johns Hopkins ;Americas;US;16;18;16;43,6;32,1;42;49,4;64;27,2;46
California, San Francisco;Americas;US;16;18;17;0;40,1;53,4;51,8;60,7;33,6;46
The  of Tokyo;Asia/Pacific;JP;1;20;1;33,3;14,1;42;52;80,4;34,5;45,9
 College London;Europe;UK;3;21;3;32,9;32,1;39,4;44,6;67;31,6;44,4
Michigan - Ann Arbor;Americas;US;18;22;18;36,5;0;59,8;43,4;79,8;26,3;44,2
Swiss Federal Institute of Technology Zurich;Europe;SW;4;23;1;34,1;36,1;36,3;43,6;53,6;47,1;43,4
Kyoto ;Asia/Pacific;JP;2;24;2;33,7;34,7;38,1;36;67,6;31;43,1
Illinois at Urbana-Champaign;Americas;US;19;25;19;35,4;36,5;42,6;37,1;58,6;27,8;42,6
The Imperial College of Science, Technology and Medicine;Europe;UK;5;26;4;17,7;37,2;41,4;36,9;62,3;33;41,9
Toronto;Americas;CA;20;27;1;23,8;19,2;38,8;38,3;80,3;27,9;41,8
Minnesota, Twin Cities;Americas;US;21;28;20;30,6;16,2;50,4;36,1;66,6;23,9;40,6
Northwestern ;Americas;US;22;29;21;18,5;18,9;48,3;35,9;59,7;28,4;38,4
Washington  in St. Louis;Americas;US;23;30;22;21,3;25,9;38,8;41;54,8;26,7;38,1
New York ;Americas;US;24;31;23;32,4;24,4;40,7;36,2;54,4;22,4;37,8
California, Santa Barbara;Americas;US;25;32;24;16;35,1;42;33,3;42,6;37,3;37,1
Colorado at Boulder;Americas;US;25;32;24;14,1;30,7;38,8;41,7;44,7;33,5;37,1
Rockefeller ;Americas;US;27;34;26;19,2;58,4;28,8;42,3;21;35,6;36,7
Duke ;Americas;US;28;35;27;17,7;0;45,8;42,2;62;24,4;35,3
British Columbia;Americas;CA;29;36;2;17,7;18,9;32,2;30,8;65,7;23,7;34,7
Maryland, College Park;Americas;US;29;36;28;22;19,9;41,4;29;53,6;26,2;34,7
The  of Texas at Austin;Americas;US;31;38;29;18,5;16,6;46,1;28,4;54,4;24,7;34,5
