Esfuerzo Innovador en la industria.;CYT_17;Alcantarillado por cada  10.000 habitantes;INFRA_28
Tecnologías Incorporadas al capital;CYT_18;Tarifa media de energía en la industria;INFRA_29
% Personal Ocupado en I&D en la industria;CYT_19;Gas Natural por cada 10.000 habitantes;INFRA_30
Numero de grupos de investigacion reconocidos por Colciencias por cada 10.000 habitantes;CYT_20;Numero de camas por cada  10.000 habitantes;INFRA_31
Numero de centros de investigacion por cada 10.000 habitantes;CYT_21;Numero de salas de hospitales y clinicas por cada  10.000 habitantes;INFRA_32
Numero de profesores con doctorado ;CYT_22;Carga aérea;INFRA_33
Produccion Registrada por grupos de Investigacion Reconocidos;CYT_23;Distancia en Kilometros ponderada a los principales mercados (Bogotá, Medellín, Cali y Barranquilla);INFRA_34
Empresas innovadoras ;CYT_24;% de red vial pavimentada ;INFRA_35
Líneas telefonica por cada 10.000 habitantes;INFRA_25;% de vías pavimentadas sobre total de la superficie;INFRA_36
Energía Eléctrica por cada  10.000 habitantes;INFRA_26;Numero de clientes conmutados y dedicados de internet por cada 10.000 habitantes;INFRA_37
Acueducto por cada  10.000 habitantes;INFRA_27;Proveedores de servicio de Internet por cada 10.000 habitantes;INFRA_38
