Palabras;frecuencias;
100 a§os;1;
Abejas;1;
Abuso sexual;1;
µcaros;1;
Accidentalidad;1;
Acercamiento;1;
Acuerdo;4;
Acuerdos comerciales;1;
Admisiones;1;
Afinaci¢n;1;
Aglomeraciones urbanas;1;
Agro;5;
Agua;1;
Al qaeda;1;
Albert Einstein;1;
Alcald°a de Bogot†;1;
Alemania;1;
Alimentaci¢n;3;
Allan Lavell;1;
Almanaque n†utico;1;
Amazonia;2;
Ambientes extremos;1;
Amenazas;1;
America latina;1;
Analisis de suelos;1;
Antartica;1;
Antibacteriales;1;
Antibioticos;1;
Antioxidantes;1;
Antrop forense;1;
A§o de la luz;1;
Aprendizaje;1;
Arauca;1;
Archipielago de san Andres;1;
Archivo historico;1;
Arquitectura;2;
Arte;2;
Artesanias;1;
Artritis;1;
Astrobiologia;1;
Astros;1;
Atencion medica;1;
Atentado;1;
Atmosfera solar;1;
Auge;1;
Autodeterminacion;1;
Autolimpiante;1;
Autonomia;1;
Avion;1;
Bebes;1;
Becas;1;
Bicentenario;1;
Billetes;1;
Biocombustible;1;
Biocontroladores;1;
Biodiversidad;2;
Bioingenieria;1;
Biomasa;1;
Biomimesis;1;
Biopolimeros;1;
Bogota;2;
Bolivar;1;
Bosque seco;1;
Bovinos;1;
Brasil;1;
Buen pastor;1;
Buses;1;
Cafe;1;
Caldas;1;
Calentamiento global;2;
Calidad;2;
Califa;1;
Camilo torres;1;
Campus;1;
Canal interoceanico;1;
Canasta;1;
Cancer;4;
Candidatos;1;
Cangrejos;1;
Capitalismo;1;
Carne bovina;1;
Carta de Jamaica;1;
Casos forenses;1;
Catalogo;1;
Catalu§a;1;
Catedra;1;
Cauce mayor;1;
Celdas solares;1;
Celulas madre;1;
Celulas senescentes;1;
Cemento;1;
Centro;1;
Cese al fuego;1;
Chemical looping combustion;1;
Chicamocha;1;
Choco;1;
Cicatrizante;1;
Cienaga grande de santa mart;1;
Ciencia;3;
Ciencia y tecnologia;2;
Ciencias forenses;1;
Cirugia;2;
Ciudad;3;
Clase alta;1;
Claveles;1;
Cocodrilo;1;
Coello;1;
Colciencias;1;
Colegios;1;
Colombia;8;
Coltan;2;
Combustion;1;
Comision;2;
Competitividad;1;
Compostaje;1;
Comunicacion visual;1;
Concreto;1;
Conflicto armado;5;
Conocimiento;2;
Construccion;2;
Consumo;1;
Contabilidad;1;
Control sanitario;1;
Corales;1;
Corderos;1;
Cordoncillo;1;
Corea del sur;1;
Corte constitucional;1;
Costilla;1;
Costos;1;
Crateres de impacto;1;
Criminalistica;1;
Crisis economica;2;
Crudo;1;
Cuba;2;
Cuenca;1;
Cuidado;1;
Cultivo;1;
Cumbre de las americas;1;
Curiti;1;
Daad;1;
Danzas;1;
David wineland;1;
Debates un;2;
Decretos;1;
Democracia;1;
Democratas;1;
Derecho del mar;1;
Derecho garantista;1;
Derecho internacional;1;
Derrame;1;
Desaparicion forzada;1;
Desarrollo craneofacial;1;
Desarrollo nacional;1;
Desarrollo rural;2;
Desastres naturales;1;
Desempleo;1;
Deshidratacion;1;
Desminado humanitario;2;
Despojo de tierras;1;
Diagnostico;1;
Diagnostico social;1;
Digitalizacion;1;
Discurso;1;
Dise§o;5;
Dislexia;1;
Documentos;1;
Donaciones;1;
Dosis;1;
Ecologia politica;1;
Economia ambiental;1;
Economia social;1;
Edificio;1;
Educacion;4;
Efecto Google;1;
Elecciones;3;
Eln;2;
Emision;1;
Emisiones;1;
Emma Araujo;1;
Empleo;1;
Empresas;1;
Energia fotovoltaica;1;
Enfermedades;1;
Enfermeras;1;
Envejecimiento;1;
Equidad;1;
Equilibrio de poderes;1;
Equipos;1;
Erupciones;1;
Espa§a;2;
Especie amenazada;1;
Especie invasora;1;
Esqueleto;1;
Esquizofrenia;1;
Estadistica;2;
Estado islamico;2;
Estados Unidos;4;
Estatuto disciplinario;1;
Estudiantes;1;
Europa;2;
Evaluacion masiva;1;
Evasion;1;
Evidencias;1;
Excavaciones;1;
Excombatientes;1;
Explosiones solares;1;
Exposicion;1;
Extincion;1;
Extremofilos;1;
Falsificacion;1;
Farmacia;1;
Feminicidio;1;
Fenomeno del ni§o;2;
Feromona;1;
Fibra optica;1;
Firmas;1;
Fisica;1;
Folclor;1;
Fondos privados;1;
Fosiles;1;
Fracturas;1;
Francisco Lopez;1;
Frescos;1;
Frutas;4;
Fumigacion aerea;1;
Galeano;1;
Gallinas criollas;1;
Ganado;1;
Gasificacion;1;
Gatos;1;
Gelatina;1;
Genetica;1;
Gentrificacion;1;
Geologia;1;
Geomorfologia;1;
Geopolitica;1;
Gestion del riesgo;3;
Glifosato;1;
Glucosa;1;
Gorgojo;1;
Granja;1;
Grecia;1;
Guaviare;1;
Guayaba;1;
GÅnter;1;
Gusanos;1;
Habitat;1;
Hablantes;1;
Hallazgo;1;
Harina;1;
Helminto;1;
Heridas;1;
Hibridos;1;
Hidrogeno;1;
Hidroxiapatita;1;
Historia;3;
Hongos;1;
Hongos forenses;1;
Hospitales;2;
Hueso;1;
Humanidades;1;
Impuestos;2;
Independencia;1;
Industria;3;
Infecciones;1;
Infraestructura;1;
Innovacion;2;
Interfaz;1;
Intermodalidad;1;
Inundacion;1;
Investigacion;2;
Istmo de panama;1;
Izquierda;1;
Joan martinez;1;
John Forbes Nash;1;
Juego;1;
Jurisdiccion especial;1;
Justicia;1;
Kenia;1;
La Guajira;1;
Lactancia;1;
Lactosuero;1;
Led;1;
Leucosis bovina;1;
Ley de la relatividad;1;
Leyes;4;
Liberacion;1;
Limites maritimos;1;
Lluvia acida;1;
Lodos;1;
Magistrados;1;
Mahoma;1;
Malaria;1;
Malla de colageno;1;
Mandibula;1;
Mangles;1;
Manizales;2;
Mapeo;1;
Mar;3;
Marimba de chonta;1;
Marte;1;
Masajes;1;
Matematico;1;
Materias primas;1;
Medellin;3;
Medicamentos;1;
Medicina legal;1;
Mediterraneo;1;
Melon;1;
Mercado;1;
Mercados agroecologicos;1;
Mesas de conversacion;1;
Metabolitos;1;
Metro;1;
Mico bonito?;1;
Microcuencas;1;
Miel;1;
Migracion africana;1;
Mineria;3;
Mision rural;1;
Modelado;1;
Modelo;2;
Modelo empresarial;1;
Modelo matematico;2;
Modelos;1;
Mortalidad;1;
Mosasaurio;1;
Mosca;1;
Moviles;1;
Movilidad;1;
Movilidad academica;1;
Movilidad urbana;1;
Muerte cerebral;1;
Muerte digna;1;
Mujeres;4;
Multifuncionales;1;
Municipios;2;
Murcielagos;1;
Museos;1;
Mycobacterium colombiense;1;
Nanoparticulas;1;
Navegacion;1;
Negociacion;1;
Negocio;1;
Niif;1;
Ni§os;2;
No armados;1;
Nueva denominacion;1;
Nutricion infantil;1;
Nutrientes;1;
Obras;1;
Oceanologia;1;
Odontologia;2;
Oposicion;1;
Orejas;1;
Orinoquia;1;
Oro;1;
Orquideas;1;
Ovinos;1;
Oxigeno;1;
Pacientes;1;
Pacifico colombiano;1;
Paisaje cultural cafetero;1;
Parqueaderos;1;
Participativa;1;
Partidos;1;
Patentes;1;
Patologia;1;
Patologia;1;
Paz;10;
Pedro nel Gomez;1;
Pensiones;1;
Peque§a edad de hielo;1;
Performance;1;
Perovskita;1;
Perros;2;
Pesca;1;
Pesqueria;1;
Peter burke;1;
Petroleo;2;
Pez capitan;1;
Picudo;1;
Plagas;1;
Plaguicidas;1;
Plan de gobierno;1;
Plan nacional de desarrollo;5;
Plantas;1;
Plantas antimalaricas;1;
Plantas y liquenes;1;
Plataforma continental;1;
Platano;2;
Pobreza;1;
Polen;1;
Politica pesquera;1;
Politicas;1;
Polucion;1;
Posconflicto;7;
Pot;1;
Prediccion;1;
Prefabricados;1;
Prematuros;1;
Premio nobel;1;
Proceso;1;
Proceso de negociacion;1;
Produccion;4;
Profesor honorario;1;
Propiedad industrial;1;
Propiedad rural;1;
Propuestas;1;
Pruebas;1;
Publicacion;1;
Pymes;1;
Quechers;1;
Quesos;1;
Racismo;1;
Radar laser;1;
Radiacion;1;
Raizales;2;
Reactivacion economica;1;
Reapertura;1;
Reclusion;1;
Recolecta cientifica;1;
Recuperacion;2;
Recuperacion industrial;1;
Recurso humano;1;
Reforma;6;
Refrendacion;1;
Regalias;1;
Regeneracion boscosa;1;
Region pacifica;1;
Regiones;1;
Reinsercion;1;
Relaciones bilaterales;1;
Reparacion;2;
Republicanos;1;
Residuos;2;
Residuos organicos;1;
Restauracion;1;
Reunificacion de Alemania;1;
Revalorizacion;1;
Riesgo;2;
Rios;3;
Ritmos ancestrales;1;
Rusia;1;
Sabana;1;
Sabor especial;1;
Sabueso;1;
Salon Regional;1;
Sarcophagidae;1;
Seaflower;1;
Sector agrario;1;
Sector electrico;1;
Seguridad alimentaria;2;
Seguridad social;1;
Semillas;1;
Serpientes;1;
Sierra de la macarena;1;
Sismos;2;
Sistemas de energia;1;
Soberania maritima;1;
Software;1;
Stephan bundi;1;
Suero antiofidico;1;
Superintendencia de educacio;1;
Surgencia;1;
Sustancias psicoactivas;1;
Tame;1;
Taponamiento;1;
Tasa compensatoria;1;
Taxis;1;
Tecnificacion;1;
Tecnoestres;1;
Tecnologia;4;
Telas;1;
Temperatura;1;
Terapias;1;
Terrorismo;1;
Thrips;1;
Tiempo;1;
Tomate cherry;1;
Tradicionales;1;
Trajes deportivos;1;
Transferencia;1;
Transformacion;1;
Transmilenio;2;
Transportador de oxigeno;1;
Trasplantes;2;
Trasplantes;1;
Tratado de libre comercio;1;
Tratamiento;1;
Tratamiento termico;1;
Tributacion;1;
Tumaco;1;
Tungsteno;1;
Uber;1;
Ultrasonido;1;
Un radio;1;
Unasur;1;
Union Europea;1;
Universidad nacional;5;
Universidades;3;
Uso compulsivo;1;
Vainilla;1;
Valores;1;
Variacion climatica;1;
Venezuela;1;
Venganza;1;
Verdad;1;
Verificacion;1;
Vestigios humanos;1;
Vias nacionales;1;
Victimas;3;
Vigilancia;1;
Vih sida;1;
Vino;1;
Violencia;3;
Virus;1;
Vista hermosa;1;
Vivienda;1;
Vivo;1;
Vocales;1;
Volcanes;1;
Vulnerabilidad del mundo;1;
Wahabismo;1;
Wayuu;1;
Zidres;1;
Zonas mineras;1;
