ESTACION;CODIGO;X;Y;MUNICIPIO;CUENCA;Jahr;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Alto Caicedo;3502016;948800;981600;Santafe de Bogota;R. San Juan;1969;0;23,1;30,2;185,9;163,3;0;0;0;119,7;199,8;78,2;39,7
Alto Caicedo;3502016;948800;981600;Santafe de Bogota;R. San Juan;1968;0;22,6;37,6;171,8;102,4;175,9;162,5;78,4;93;116,7;133;14,7
Alto Caicedo;3502016;948800;981600;Santafe de Bogota;R. San Juan;1967;29;40;32;73;121;185;203;334;37;52;96;60
Alto Caicedo;3502016;948800;981600;Santafe de Bogota;R. San Juan;1966;0;0;0;0;0;0;3,8;202;121;93;119;100
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2000;18,7;89,4;111,1;50,1;60,5;52,6;73,3;48,6;144,8;98,3;90,4;32,5
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2000;31,6;87,2;93,4;75,6;86,2;40,1;49,7;56,7;59,8;64,7;44,7;29,7
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2000;84,7;0;0;0;0;0;0;0;0;0;0;0
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2000;61,8;100,4;79,2;78,8;176,6;45,8;89,5;73,2;61,8;51,5;84,8;50
La Picota;2120156;995500;994600;Santafe de Bogota;R. Tunjuelo;2000;27,1;121,8;103,6;21,5;68;44,6;47,6;51,5;54,7;5,4;0;0
Torca;2120077;1021800;1005320;Santafe de Bogota;R. Bogota;2000;46,4;121,6;89,3;76,5;65,2;51,1;61,3;52,5;102,4;128,9;37,9;22,3
Apto Guaymaral;2120559;1023950;1001550;Santafe de Bogota;R. Bogota;2001;40,4;38,4;68,7;10,2;131;81,9;21,6;38,3;106;35,8;61,7;45,3
Dogna Juana;2120630;992300;993700;Santafe de Bogota;R. Tunjuelo;2001;7,8;76,4;72,4;50,9;67,8;55,8;42,9;30,3;57,6;21,2;42,3;46,8
Edificio CAR;2120058;1000000;1000000;Santafe de Bogota;Bogota;2001;0;0;0;0;0;0;0;0;0;43,2;48;46,5
El Bosque;2120085;986200;995560;Santafe de Bogota;R. Tunjuelo;2001;54;59,6;86,5;43;42,5;17,4;29,2;13,3;14,3;46,9;119,7;88,8
