Codigo Institucion;Nombre Institucion;Estado;Numero Identificacion Tributaria - NIT;Principal/Seccional;Naturaleza Jur≠dica;Sector;Caracter Academico;Departamento Domicilio;Municipio Domicilio;Direccion Domicilio;Telefono Domicilio;Ente Emite la Norma de Creacion;Tipo Acto Administrativo Norma de Creacion;Número Norma de Creacion;Fecha Norma de Creacion;Programas Vigentes;Pˇgina Web;Acreditada Alta Calidad;Fecha Acreditacion;Resolucion de la acreditacion;Vigencia de la acreditacion;Mision;Nombre;Apellido;Cargo;Tipo Acto Nombramiento;Numero Acto Nombramiento;Fecha Norma;Fecha Desde;Fecha Hasta;Nombre;Apellido;Cargo;Tipo Acto Nombramiento;Número Acto Nombramiento;Fecha Norma;Fecha desde;Fecha hasta;Tipo Cubrimiento;Departamento;Municipio
2905;CENTRO DE EDUCACION MILITAR - CEMIL;ACTIVA;830028487;PRINCIPAL;NACIONAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;BOGOTA D.C;BOGOTA D.C.;Calle 102 7-80;6208549;Comando del Ej?rcito Nacional;NO INFORMA;10;23/11/1999;10;www.cemil.mil.co;NO;;;;;GIOVANI;VALENCIA HURTADO;DIRECTOR;NO INFORMA;10;14/01/2019;14/01/2019;;GIOVANI;VALENCIA HURTADO;REPRESENTANTE LEGAL;NO INFORMA;786;14/01/2019;14/01/2019;;;BOGOTA D.C;BOGOTA D.C.
9934;Centro de Estudios Aeron˘uticos - CEA;ACTIVA;16820;PRINCIPAL;NACIONAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;BOGOTA D.C;BOGOTA D.C.;Avenida el Dorado N˘. 103 - 23;296 26 45;SIN DATO;NO INFORMA;SIN DATO;14/12/2018;0;www;NO;;;;;;;;;SIN DATO;;;;;;;;;;;;;BOGOTA D.C;BOGOTA D.C.
3802;CENTRO EDUCACIONAL DE COMPUTOS Y SISTEMAS-CEDESISTEMAS-;ACTIVA;No Informa;PRINCIPAL;CORPORACION;PRIVADA;INSTITUCION TECNOLOGICA;ANTIOQUIA;MEDELLIN;Cra 43 No. 54-44;2168222;MINISTERIO DE EDUCACION NACIONAL.;RESOLUCION;12571;20/12/1976;0;www.cedesistemas.edu.co;NO;;;;;LUIS FERNANDO;Gil Zuluaga;RECTOR;ACUERDO;12571;5/12/2018;1/03/2019;28/02/2023;LUIS FERNANDO;Gil Zuluaga;REPRESENTANTE LEGAL;ACUERDO;32-18;5/12/2018;1/03/2019;28/02/2023;;ANTIOQUIA;MEDELLIN
2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-;ACTIVA;860.045.740;PRINCIPAL;FUNDACION;PRIVADA;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;BOGOTA D.C;BOGOTA D.C.;Calle 35 No. 6-16;3395300;MINISTERIO DE EDUCACION NACIONAL.;RESOLUCION;5157;29/08/1975;7;www.cesa.edu.co;SI;20/05/2015;7074;4;FORMAR LOS MEJORES LIDERES EMPRESARIALES CAPACES DE GENERAR VALOR PARA SUS EMPRESAS, CON ESPIRITU EMPRENDEDOR, CREATIVOS, ETICOS Y COMPROMETIDOS CON LA GENERACION DE DESARROLLO ECONOMICO, SOCIAL Y POLITICO DE ACUERDO CON LOS VALORES QUE PROFESA EL CESA PARA QUE COLOMBIA SEA UNA NACION COMPETITIVA, JUSTA Y QUE VIVA EN PAZ,;HENRY JOSEPH;BRADFORD SICARD;RECTOR;ACTA;5157;26/09/2014;15/11/2014;;JUAN CARLOS;APONTE ROMERO;SEGUNDO REPRESENTANTE LEGAL SUPLENTE;CONSEJO DIRECTIVO;470;14/03/2016;14/03/2016;;;BOGOTA D.C;BOGOTA D.C.
2704;COLEGIO DE ESTUDIOS SUPERIORES DE ADMINISTRACION-CESA-;ACTIVA;860.045.740;PRINCIPAL;FUNDACION;PRIVADA;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;BOGOTA D.C;BOGOTA D.C.;Calle 35 No. 6-16;3395300;MINISTERIO DE EDUCACION NACIONAL.;RESOLUCION;5157;29/08/1975;7;www.cesa.edu.co;SI;20/05/2015;7074;4;FORMAR LOS MEJORES LIDERES EMPRESARIALES CAPACES DE GENERAR VALOR PARA SUS EMPRESAS, CON ESPIRITU EMPRENDEDOR, CREATIVOS, ETICOS Y COMPROMETIDOS CON LA GENERACION DE DESARROLLO ECONOMICO, SOCIAL Y POLITICO DE ACUERDO CON LOS VALORES QUE PROFESA EL CESA PARA QUE COLOMBIA SEA UNA NACION COMPETITIVA, JUSTA Y QUE VIVA EN PAZ,;HENRY JOSEPH;BRADFORD SICARD;RECTOR;ACTA;5157;26/09/2014;15/11/2014;;HENRY JOSEPH;BRADFORD SICARD;REPRESENTANTE LEGAL;ACTA;451;26/09/2014;15/11/2014;;;BOGOTA D.C;BOGOTA D.C.
4112;COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS - IES CINOC;ACTIVA;890.802.678-4;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION TECNICA PROFESIONAL;CALDAS;PENSILVANIA;Carrera 5 # 6-30;8555118;Gobierno Nacional;DECRETO;37;8/01/1985;40;www.iescinoc.edu.co;NO;;;;FORMAR, A TRAVêS DE LOS PROCESOS DE EDUCACIÖN PERMANENTE, EL RECURSO HUMANO REQUERIDO PARA EL DESARROLLO TECNOLÖGICO DE CALDAS Y DEL PAôS, BRINDANDO LA OPORTUNIDAD DE ACCESO A LA CIENCIA Y A LA TECNOLOGôA A HABITANTES PROVENIENTES DE ZONAS URBANAS Y RURALES APARTADAS DE LOS GRANDES CENTROS DE DESARROLLO ECONÖMICO Y SOCIAL.   EL EGRESADO SERÊ U N PROFESIONAL COMPETITIVO Y COMPETENTE, CRôTICO Y AUTOCRôTICO, CREATIVO E INNOVADOR, PARTICIPATIVO Y TOLERANTE, DEMOCRÊTICO Y AUTÖNOMO Y CAPAZ DE LIDERAR LOS PROCESOS DE CAMBIO.;LUIS ALFREDO;AVILA TORRES;RECTOR;ACUERDO;37;26/11/2013;1/02/2014;31/01/2018;LUIS ALFREDO;AVILA TORRES;REPRESENTANTE LEGAL;ACUERDO;12;26/11/2013;1/02/2014;31/01/2018;;CALDAS;PENSILVANIA
2110;COLEGIO MAYOR DE ANTIOQUIA;ACTIVA;890.980.134-1;PRINCIPAL;MUNICIPAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;ANTIOQUIA;MEDELLIN;Calle 65  77-126 Robledo;4225252;Congreso de Colombia;LEY;48;17/12/1945;23;www.colmayor.edu.co;NO;;;;"EL COLEGIO MAYOR DE ANTIOQUIA ES UNA INSTITUCION UNIVERSITARIA ORGANIZADA COMO ESTABLECIMIENTO PUBLICO, DE CARACTER ACADEMICO, DEL ORDEN NACIONAL, DE NATURALEZA AUTONOMA, ADSCRITA AL MINISTERIO DE EDUCACION NACIONAL.

DIRIGE SU ACCION HACIA LA SATISFACCION PLENA DE LAS NECESIDADES ACADEMICAS, CIENTIFICAS, TECNOLOGICAS, CULTURALES, POLITICAS, HUMANISTICAS, FILOSOFICAS Y ARTISTICAS DE SUS ESTAMENTOS DICENTE, DOCENTE Y ADMINISTRATIVA, MEDIANTE LA OFERTA DE SERVICIOS ACADEMICOS INTEGRADOS, DE EFICIENCIA Y CALIDAD.

DENTRO DE LOS PRINCIPIOS Y VALORES QUE RIGEN A LA INSTITUCION BUSCA PERMANENTEMENTE EL DESARROLLO INTEGRAL Y EQUITATIVO DE SU TALENTO HUMANO PARA LOGRAR UNOS NIVELES DE RENDIMIENTO ACADEMICO Y PRODUCTIVIDAD QUE PERMITAN LA RETRIBUCION ESPERADA POR LOS ALUMNOS Y LA SOCIEDAD EN GENERAL.

ASI MISMO, PROCURA ACTIVAR VALORES COMO:  ACTITUD DE SERVICIO, RESPONSABILIDAD SOCIAL, COMPORTAMIENTO ETICO, RECTITUD, CAPACIDAD DE INNOVACION, DINAMISMO, DESARROLLO MAXIMO DE SUS CAPACIDADES, CALIDAD, PRODUCTIVIDAD Y LIDERAZGO.";Bernardo;Arteaga Velˇsquez;RECTOR;ACTA C.D.;48;11/03/2016;1/04/2016;31/03/2020;Bernardo;Arteaga Velˇsquez;REPRESENTANTE LEGAL;ACTA C.D.;4;11/03/2016;1/04/2016;31/03/2020;;ANTIOQUIA;MEDELLIN
3103;COLEGIO MAYOR DE BOLIVAR;ACTIVA;890.480.054;PRINCIPAL;MUNICIPAL;OFICIAL;INSTITUCION TECNOLOGICA;BOLIVAR;CARTAGENA;Calle de la Factor≠a  35-95;6644060;Congreso;LEY;48;17/12/1945;19;www.colmayorbolivar.edu.co;NO;;;;EL COLEGIO MAYOR DE BOLIVAR ES UNA INSTITUCIÖN DE EDUCACIÖN TECNOLÖGICA ESTATAL OFICIAL QUE FUNDAMENTA SU MISIÖN EN LA FORMACIÖN DE SUS EDUCANDOS EN OCUPACIONES, PROGRAMAS DE FORMACIÖN ACADêMICA EN DISCIPLINAS Y PROGRAMAS DE ESPECIALIZACIÖN TECNOLÖGICA EN DIFERENTES ÊREAS DEL CONOCIMIENTO, DENTRO DE CLAROS PRINCIPIOS êTICOS, TECNOLÖGICOS, HUMANISTICOS Y CIENTIFICOS EN UN AMBIENTE DE AUTONOMôA INSTITUCIONAL QUE ASEGURA LA LIBERTAD DE ENSEæANZA Y APRENDIZAJE Y LA PARTICIPACIÖN ACADêMICA PARA QUE, DENTRO DE SU CAMPO DE FORMACIÖN ESPECôFICA, CONTRIBUYAN AL DESARROLLO REGIONAL Y NACIONAL.;JAIRO ARGEMIRO;MENDOZA ˘˘LVAREZ;RECTOR;ACUERDO C.D.;48;17/12/2018;26/12/2018;25/12/2022;JAIRO ARGEMIRO;MENDOZA ˘˘LVAREZ;REPRESENTANTE LEGAL;ACUERDO C.D.;18;17/12/2018;26/12/2018;25/12/2022;"CERES,BOLIVAR,MARIA LA BAJA;CERES,BOLIVAR,SIMITI;";BOLIVAR;CARTAGENA
1714;COLEGIO MAYOR DE NUESTRA SEæORA DEL ROSARIO;ACTIVA;860.007.759;PRINCIPAL;FUNDACION;PRIVADA;UNIVERSIDAD;BOGOTA D.C;BOGOTA D.C.;Calle 14  6-25;2431716;MINISTERIO DE GOBIERNO.;RESOLUCION;58;31/12/1969;179;www.urosario.edu.co;SI;27/12/2011;12229;8;IMPARTIR UNA SOLIDA FORMACION ETICA Y HUMANISTICA QUE UNIDA A LA INVESTIGACION Y A UNA  IDONEA Y EXIGENTE DOCENCIA, PERMITA A ESTA COMUNIDAD EDUCATIVA FORMAR INTEGRALMENTE PERSONAS INSIGNES Y ACTUAR  EN BENEFICIO DE LA SOCIEDAD CON UN MAXIMO SENTIDO DE RESPONSABILIDAD.;JOS˘ ALEJANDRO;Cheyne Garc˘a;RECTOR;ACTA;58;1/10/2018;25/10/2018;24/10/2022;JOS˘ ALEJANDRO;Cheyne Garc˘˘a;REPRESENTANTE LEGAL;ACTA;1;1/10/2018;25/10/2018;24/10/2022;"CONVENIO,BOGOTA D.C,BOGOTA D.C.;CONVENIO,ANTIOQUIA,MEDELLIN;CONVENIO,QUINDIO,ARMENIA;";BOGOTA D.C;BOGOTA D.C.
3104;COLEGIO MAYOR DEL CAUCA;ACTIVA;NO INFORMA;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;CAUCA;POPAYAN;Cra.5#5-40 (SEDE PPAL), Calle 3#6-42 (CASA OB;8241109;Ministerio de Educacion Nacional.;RESOLUCION;524;15/12/1966;14;www.colmayorcauca.edu.co;NO;;;;GENERAR Y FOMENTAR EL SURGIMIENTO DE NUEVAS Y DIVERSAS FORMAS DE MEJORAMIETO Y SUPERACION SOCIO-CULTURAL MEDIANTE PROCESOS DE EDUCACION INTEGRAL FORMAL E INFORMAL QUE SE EXPRESEN EN PENSAMIENTO CRITICO E INNOVADOR, INTERDICIPLINARIEDAD, E INDISCRIMINACION IDEOLOGICA Y SU APLICABILIDAD EN PROYECTOS VIABLES DENTRO DEL CONTEXTO REGIONAL, TRANSFORMANDO SIGNIFICATIVAMENTE LA SOCIEDAD, COMUNIDAD, LOS COLECTIVOS Y LA FAMILIA.;FREDY ALONSO;VIDAL ALEGRIA;RECTOR(E);RESOLUCION C.D.;524;2/10/2015;5/10/2015;;FREDY ALONSO;VIDAL ALEGRIA;REPRESENTANTE LEGAL (E);RESOLUCION C.D.;7;2/10/2015;5/10/2015;;;CAUCA;POPAYAN
3104;COLEGIO MAYOR DEL CAUCA;ACTIVA;NO INFORMA;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;CAUCA;POPAYAN;Cra.5#5-40 (SEDE PPAL), Calle 3#6-42 (CASA OB;8241109;Ministerio de Educacion Nacional.;RESOLUCION;524;15/12/1966;14;www.colmayorcauca.edu.co;NO;;;;GENERAR Y FOMENTAR EL SURGIMIENTO DE NUEVAS Y DIVERSAS FORMAS DE MEJORAMIETO Y SUPERACION SOCIO-CULTURAL MEDIANTE PROCESOS DE EDUCACION INTEGRAL FORMAL E INFORMAL QUE SE EXPRESEN EN PENSAMIENTO CRITICO E INNOVADOR, INTERDICIPLINARIEDAD, E INDISCRIMINACION IDEOLOGICA Y SU APLICABILIDAD EN PROYECTOS VIABLES DENTRO DEL CONTEXTO REGIONAL, TRANSFORMANDO SIGNIFICATIVAMENTE LA SOCIEDAD, COMUNIDAD, LOS COLECTIVOS Y LA FAMILIA.;Hector;Sanchez Collazos;RECTOR;ACUERDO C.D.;524;18/05/2016;19/05/2016;18/05/2020;Hector;Sanchez Collazos;REPRESENTANTE LEGAL;ACUERDO C.D.;12;18/05/2016;19/05/2016;18/05/2020;;CAUCA;POPAYAN
3104;COLEGIO MAYOR DEL CAUCA;ACTIVA;NO INFORMA;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;CAUCA;POPAYAN;Cra.5#5-40 (SEDE PPAL), Calle 3#6-42 (CASA OB;8241109;Ministerio de Educacion Nacional.;RESOLUCION;524;15/12/1966;14;www.colmayorcauca.edu.co;NO;;;;GENERAR Y FOMENTAR EL SURGIMIENTO DE NUEVAS Y DIVERSAS FORMAS DE MEJORAMIETO Y SUPERACION SOCIO-CULTURAL MEDIANTE PROCESOS DE EDUCACION INTEGRAL FORMAL E INFORMAL QUE SE EXPRESEN EN PENSAMIENTO CRITICO E INNOVADOR, INTERDICIPLINARIEDAD, E INDISCRIMINACION IDEOLOGICA Y SU APLICABILIDAD EN PROYECTOS VIABLES DENTRO DEL CONTEXTO REGIONAL, TRANSFORMANDO SIGNIFICATIVAMENTE LA SOCIEDAD, COMUNIDAD, LOS COLECTIVOS Y LA FAMILIA.;Hector;Sanchez Collazos;RECTOR;ACUERDO C.D.;524;18/05/2016;19/05/2016;18/05/2020;FREDY ALONSO;VIDAL ALEGRIA;REPRESENTANTE LEGAL (E);RESOLUCION C.D.;7;2/10/2015;5/10/2015;;;CAUCA;POPAYAN
3104;COLEGIO MAYOR DEL CAUCA;ACTIVA;NO INFORMA;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;CAUCA;POPAYAN;Cra.5#5-40 (SEDE PPAL), Calle 3#6-42 (CASA OB;8241109;Ministerio de Educacion Nacional.;RESOLUCION;524;15/12/1966;14;www.colmayorcauca.edu.co;NO;;;;GENERAR Y FOMENTAR EL SURGIMIENTO DE NUEVAS Y DIVERSAS FORMAS DE MEJORAMIETO Y SUPERACION SOCIO-CULTURAL MEDIANTE PROCESOS DE EDUCACION INTEGRAL FORMAL E INFORMAL QUE SE EXPRESEN EN PENSAMIENTO CRITICO E INNOVADOR, INTERDICIPLINARIEDAD, E INDISCRIMINACION IDEOLOGICA Y SU APLICABILIDAD EN PROYECTOS VIABLES DENTRO DEL CONTEXTO REGIONAL, TRANSFORMANDO SIGNIFICATIVAMENTE LA SOCIEDAD, COMUNIDAD, LOS COLECTIVOS Y LA FAMILIA.;FREDY ALONSO;VIDAL ALEGRIA;RECTOR(E);RESOLUCION C.D.;524;2/10/2015;5/10/2015;;Hector;Sanchez Collazos;REPRESENTANTE LEGAL;ACUERDO C.D.;12;18/05/2016;19/05/2016;18/05/2020;;CAUCA;POPAYAN
2208;CONSERVATORIO DEL TOLIMA;ACTIVA;890.700.906-0;PRINCIPAL;DEPARTAMENTAL;OFICIAL;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;TOLIMA;IBAGUE;Calle 9  1-18;2613118;Asamblea del Tolima.;ORDENANZA;42;10/12/1980;4;www.conservatoriodeltolima.edu.co;NO;;;;"SERVIR A LA COMUNIDAD COMO CENTRO PERMANENTE DE CREACION, DESARROLLO, CONSERVACION Y DIFUSION DE LA CULTURA ARTISTICA, TANTO DE LA REGION, COMO DEL PAIS Y DEL MUNDO; MEDIANTE LA FORMACION DE UN PROFESIONAL INTEGRAL CON AMPLIOS CONOCIMIENTOS MUSICALES, HUMANISTICOS Y DOCENTES, CON ALTO SENTIDO ESTETICO, CAPAZ DE COMPROMETERSE CON EL DESARROLLO CULTURAL Y SOCIAL DE LA REGION Y DEL PAIS.";JAMES ENRIQUE;FERN˘˘NDEZ C˘RDOBA;RECTOR;NO INFORMA;42;6/07/2018;7/07/2018;6/07/2022;JAMES ENRIQUE;FERN˘NDEZ C˘RDOBA;REPRESENTANTE LEGAL;NO INFORMA;4;6/07/2018;7/07/2018;6/07/2022;;TOLIMA;IBAGUE
4801;CORPORACION ACADEMIA SUPERIOR DE ARTES;ACTIVA;890984813-2;PRINCIPAL;CORPORACION;PRIVADA;INSTITUCION TECNOLOGICA;ANTIOQUIA;MEDELLIN;Calle 43 78-40;4112811;MINISTERIO DE EDUCACION NACIONAL.;RESOLUCION;11105;13/07/1983;6;www.corpoasa.edu.co;NO;;;;"OFRECER NUEVAS Y ACERTADAS ALTERNATIVAS DE FORMACI˘N PROFESIONAL RELACIONADAS CON LA INGENIERIA, EL DISE˘O Y LA ADMINISTRACI˘N; QUE PERMITAN CUBRIR LAS NECESIDADES LABORALES DEL MEDIO.

PREPARAR PROFESIONALES ID˘NEOS PARA DESEMPE˘ARSE PERMANENTEMENTE COMO EMPLEADOS, O CREAR SU PROPIA EMPRESA, DESDE LA CUAL PUEDE OFRECER SERVICIOS PROFESIONALES INDEPENDIENTES.

IMPARTIR UNA INFORMACI˘N INTEGRAL, ENMARCADA DENTRO DE LOS LINEAMIENTOS DE LA EDUCACI˘N SUPERIOR DEL DESARROLLO ˘TICO Y MORAL.

PRESTAR SERVICIO A LA COMUNIDAD ATRAV˘S DE LA REALIZACI˘N DE TRABAJOS ACAD˘MICOS.";Santiago;Orjuela Greiffenstein;RECTOR;ACUERDO;11105;5/12/2016;1/02/2017;1/02/2019;Santiago;Orjuela Greiffenstein;REPRESENTANTE LEGAL;ACUERDO;115;5/12/2016;1/02/2017;1/02/2019;;ANTIOQUIA;MEDELLIN
