Universidades;DCTC2012;GPA2012;MPRE2012;MPOS2012;GrPre2012;GrPos2012
NACIONAL;2161;347233353;42120;9299;4903;3181
PEDAGOGICA;440;7986738;9321;1614;1186;362
UPTC;828;20641880;24644;2360;3190;1225
CAUCA;550;28539431;12859;700;1372;303
TEC DE PEREIRA;442;15343348;15423;1319;1532;299
CALDAS;418;12877924;12261;971;1953;266
CORDOBA;336;17354987;12081;377;809;0
SURCOLOMBIANA;284;10982676;9867;435;1113;265
AMAZONIA;198;6113236;6851;332;724;177
MILITAR;375;10673047;12850;2678;978;1218
TEC DEL CHOCO;240;21314583;10668;43;1536;49
LLANOS;201;13159385;5218;267;653;136
POPU DEL CESAR;184;5206608;13127;0;1653;159
MAY DE CNAMARCA;203;7597155;5028;235;870;237
PACIFICO;65;3613371;2115;0;128;0
ANTIOQUIA;1848;71634254;36788;2760;3437;815
ATLANTICO;371;11693780;19907;255;1559;151
VALLE;935;61192000;26245;3238;3209;800
UIS;632;49145313;19897;1869;2726;607
CARTAGENA;435;44876932;18804;861;1236;320
NARINO;296;9449989;11099;549;1208;270
TOLIMA;321;23307867;37080;1183;4499;577
QUINDIO;437;13088429;15740;140;2051;45
UFPS_CUCUTA;288;7109593;20528;555;2273;200
UFPS_OCANA;56;3881551;4588;57;307;43
PAMPLONA;525;9552468;23887;317;5320;315
MAGDALENA;307;4944457;20082;613;2910;345
CUNDINAMARCA;309;11632868;10432;107;1064;171
SUCRE;116;3997130;4838;66;678;0
GUAJIRA;224;9381315;7962;277;696;0
DISTRITAL;758;16043464;27293;1696;2974;683
UNAD;743;14683191;64558;1678;2106;124
