Institution;Region;Country;Regional Rank;World Rank;National Rank
Harvard University;Americas;US;1;1;1
University of California, Berkeley;Americas;US;2;2;2
Stanford University;Americas;US;3;3;3
Massachusetts Institute of Technology (MIT);Americas;US;4;4;4
University of Cambridge;Europe;UK;1;5;1
California Institute of Technology;Americas;US;5;6;5
Princeton University;Americas;US;6;7;6
Columbia University;Americas;US;7;8;7
University of Chicago;Americas;US;8;9;8
University of Oxford;Europe;UK;2;10;2
Yale University;Americas;US;9;11;9
Cornell University;Americas;US;10;12;10
University of California, Los Angeles;Americas;US;11;13;11
University of California, San Diego;Americas;US;12;14;12
University of Pennsylvania;Americas;US;13;15;13
University of Washington;Americas;US;14;16;14
University of Wisconsin - Madison;Americas;US;15;17;15
The Johns Hopkins University;Americas;US;16;18;16
University of California, San Francisco;Americas;US;16;18;17
The University of Tokyo;Asia/Pacific;JP;1;20;1
University College London;Europe;UK;3;21;3
University of Michigan - Ann Arbor;Americas;US;18;22;18
Swiss Federal Institute of Technology Zurich;Europe;SW;4;23;1
Kyoto University;Asia/Pacific;JP;2;24;2
University of Illinois at Urbana-Champaign;Americas;US;19;25;19
The Imperial College of Science, Technology and Medicine;Europe;UK;5;26;4
University of Toronto;Americas;CA;20;27;1
University of Minnesota, Twin Cities;Americas;US;21;28;20
Northwestern University;Americas;US;22;29;21
Washington University in St. Louis;Americas;US;23;30;22
New York University;Americas;US;24;31;23
University of California, Santa Barbara;Americas;US;25;32;24
University of Colorado at Boulder;Americas;US;25;32;24
Rockefeller University;Americas;US;27;34;26
Duke University;Americas;US;28;35;27
University of British Columbia;Americas;CA;29;36;2
University of Maryland, College Park;Americas;US;29;36;28
The University of Texas at Austin;Americas;US;31;38;29
Pierre and Marie Curie University - Paris 6;Europe;FR;6;39;1
University of Copenhagen;Europe;DE;7;40;1
University of North Carolina at Chapel Hill;Americas;US;32;41;30
Karolinska Institute;Europe;SE;8;42;1
Pennsylvania State University - University Park;Americas;US;33;43;31
The University of Manchester;Europe;UK;9;44;5
University of Paris Sud (Paris 11);Europe;FR;10;45;2
University of California, Davis;Americas;US;34;46;32
University of California, Irvine;Americas;US;34;46;32
University of Southern California;Americas;US;34;46;32
The University of Texas Southwestern Medical Center at Dallas;Americas;US;37;49;35
Utrecht University;Europe;NL;11;50;1
University of Zurich;Europe;SW;12;51;2
University of Munich;Europe;GE;13;52;1
Vanderbilt University;Americas;US;38;53;36
Rutgers, The State University of New Jersey - New Brunswick;Americas;US;39;54;37
The University of Edinburgh;Europe;UK;14;54;6
Technical University Munich;Europe;GE;15;56;2
University of Pittsburgh;Americas;US;40;56;38
Carnegie Mellon University;Americas;US;41;58;39
The Australian National University;Asia/Pacific;AS;3;59;1
The Ohio State University - Columbus;Americas;US;42;59;40
McGill University;Americas;CA;43;61;3
University of Melbourne;Asia/Pacific;AS;4;62;2
King's College London;Europe;UK;16;63;7
University of Heidelberg;Europe;GE;16;63;3
Brown University;Americas;US;44;65;41
University of Bristol;Europe;UK;18;66;8
Uppsala University;Europe;SE;18;66;2
University of Florida;Americas;US;45;68;42
Purdue University - West Lafayette;Americas;US;46;69;43
Leiden University;Europe;NL;20;70;2
Ecole Normale Superieure - Paris;Europe;FR;21;71;3
The Hebrew University of Jerusalem;Asia/Pacific;IR;5;72;1
University of Helsinki;Europe;FI;22;72;1
Moscow State University;Europe;RU;23;74;1
Osaka University;Asia/Pacific;JP;6;75;3
University of Oslo;Europe;NW;24;75;1
Boston University;Americas;US;47;77;44
University of Arizona;Americas;US;48;78;45
Stockholm University;Europe;SE;25;79;3
Nagoya University;Asia/Pacific;JP;7;79;4
Arizona State University - Tempe;Americas;US;49;81;46
University of Rochester;Americas;US;50;82;47
University of Utah;Americas;US;50;82;47
Tohoku University;Asia/Pacific;JP;8;84;5
University of Nottingham;Europe;UK;26;84;9
Michigan State University;Americas;US;52;86;49
University of Basel;Europe;SW;27;86;3
McMaster University;Americas;CA;53;88;4
The University of Sheffield;Europe;UK;28;88;10
Ghent University;Europe;BE;29;90;1
Indiana University Bloomington;Americas;US;54;90;50
University of Sydney;Asia/Pacific;AS;9;92;3
University of Bonn;Europe;GE;30;93;4
University of Goettingen;Europe;GE;30;93;4
Texas A&M University - College Station;Americas;US;55;95;51
University of Virginia;Americas;US;56;96;52
Case Western Reserve University;Americas;US;57;97;53
Aarhus University;Europe;DE;32;98;2
Rice University;Americas;US;58;99;54
University of Birmingham;Europe;UK;33;99;11
