CIUDADES;Num Hab;Analfabetismo;Cobertura pria y secdaria;Cobertura ed sup;Rel al-prof
Armenia;284120;0,088;1,095;0,266;22,4
Barranquilla;1163007;0,0922;1,083;0,306;22,5
Bogota;7050228;0,0973;0,999;0,538;22,6
Bucaramanga;520080;0,076;1,192;0,326;22,2
Cali;2169801;0,0831;1,019;0,223;22
Cartagena;912674;0,1213;1,207;0,147;24,4
Cucuta;600049;0,1133;1,147;0,217;22,4
Ibague;509796;0,1073;0,983;0,181;23,4
Manizales;383483;0,0769;1,143;0,23;22,2
Medellin;2264776;0,1256;1,219;0,3;26,3
Monteria;390996;0,1587;1,109;0,151;26,1
Neiva;322098;0,1131;1,1;0,179;23,3
Pasto;394074;0,1115;1,052;0,128;21,8
Pereira;448971;0,1007;1,124;0,283;22,6
Popayan;261694;0,0915;1,135;0,163;21,5
Riohacha;184847;0,2713;1;0,152;26,1
San Andres;66675;0,0772;0,803;0,107;20,4
Santa Marta;428374;0,1244;1,005;0,116;22,9
Sincelejo;245180;0,1612;1,228;0,107;24,9
Tunja;161209;0,1023;1,036;0,245;22,1
Valledupar;373872;0,1587;1,017;0,147;24,5
Villavicencio;400475;0,1017;1,193;0,174;25,4
