CIUDADES;Region;Poblacion;Analfabetismo;Cobertura pria y secdaria;Cobertura ed sup;Rel al-prof;N Gr Inv  Colciencias;No Ce Inv;No Prf. Doctorado;Delitos MA y R nat;Consum agua M3;Basura desechos Ton;T Mort ER men 4;PIB per capita;NBI;LinTel;EElec;Acue;Alcant;GasNat;Camas;HospClin;ClientesIntern;ProveedIntern
Barranquilla;Alt_NBI_BajaInfr;1163007;0,09;1,08;0,31;22,5;0,92;0,15;0,66;0,24;524072,21;333,49;0,00271;4945028,6;17,69;1358,469897;2054,605002;1786,825015;1689,783466;1738,622381;12,59413583;0,998992469;551,1660721;0,137574408
Cartagena;Alt_NBI_BajaInfr;912674;0,12;1,21;0,15;24,4;0,41;0,25;0,34;0,32;421517,94;135,75;0,00452;4831194,56;26,16;1030,433649;2062,477949;1669,0516;1315,475186;1635,54566;6,033238051;0,444098313;323,3903891;0,153395407
Ibagué;Alt_NBI_BajaInfr;509796;0,11;0,98;0,18;23,4;0,52;0,1;0,85;1,92;409306,25;45,68;0,02885;4001513,92;16,2;1769,531342;2179,852333;1776,847994;1682,594606;1669,667867;9,409801715;0,543246285;347,4527066;0,274619652
Monteria;Alt_NBI_BajaInfr;390996;0,16;1,11;0,15;26,1;0,63;0,08;0,52;0,49;310062,79;160,64;0;3519941,01;44,5;825,7629234;2463,733644;1304,105413;472,4089249;1322,647802;3,424717901;0,67990723;227,802842;0,33248422
Pasto;Alt_NBI_BajaInfr;394074;0,11;1,05;0,13;21,8;0,43;0,08;0,57;0,08;309740,28;166,72;0,01389;2905276,14;16,65;1270,954186;2176,164883;1406,106467;1406,106467;1501,76;19,78870368;0,875606357;265,9145237;0,228383502
Riohacha;Alt_NBI_BajaInfr;184847;0,27;1,07;0,15;26,1;0,1;0,1;0,06;0,91;203210,17;165,54;0;3274072,81;48,43;450,9134582;1611,278517;829,8755187;635,7690414;1075,159456;8,108122066;0,568084986;173,5489351;0,324592771
San Andres;Alt_NBI_BajaInfr;66675;0,08;0,8;0,11;20,4;0,3;0,11;0,35;1;25808,92;179,89;0;6421920,51;42,45;1224,296963;2029,54;516,3854518;1383,877015;1539,52;3,123837858;0,743770919;269,0663667;0,899887514
Santa Marta;Alt_NBI_BajaInfr;428374;0,12;1,01;0,12;22,9;1,03;0,14;0,31;0,66;304678,18;216,45;0;3063622,62;29,05;1055,853063;2506,898178;1508,728354;1320,6217;1647,228823;12,41153905;0,482670963;281,0161214;0,256784959
Valledupar;Alt_NBI_BajaInfr;373872;0,16;1,02;0,15;24,5;0,31;0,1;0,08;0,71;493609,95;165,54;0,11538;4297889,67;32,69;876,1019814;1922,663371;1527,849103;1429,580177;1483,636111;8,65636073;0,703981144;245,2711088;0,294218342
Villavicencio;Alt_NBI_BajaInfr;400475;0,1;1,19;0,17;25,4;0,07;0,07;0,38;0,33;415449;196,57;0,00658;5841825,89;16,77;1302,653099;2338,822648;100,3058868;100,3058868;1985,067732;25,27423027;1,26614641;393,5326799;0,299644173
Armenia;MedInfr_BajPIB;284120;0,09;1,1;0,27;22,4;0,49;0,14;0,6;0,04;563191,15;160,46;0,03226;3811687,25;12,9;1892,404618;2623,574546;2497,923413;2497,817823;1263,304238;12,81005765;0,735003308;495,0725046;0,457553147
Cúcuta;MedInfr_BajPIB;600049;0,11;1,15;0,22;22,4;0,13;0,07;0,08;2,19;438709,27;224,2;0,02667;3184948,24;23,15;1549,006831;2309,644712;2915,078602;1861,181337;929,2907746;21,90876846;0,907366163;301,775355;0,199983668
Neiva;MedInfr_BajPIB;322098;0,11;1,1;0,18;23,3;0,55;0,03;0,09;0,03;657741,03;193,89;0,00943;4152561,56;17,61;1939,440791;2350,371626;4307,508895;4261,684332;2247,638917;20,89841646;1,415798464;389,6950618;0,341510969
Popayan;MedInfr_BajPIB;261694;0,09;1,14;0,16;21,5;2,62;0,23;1,96;1,32;480301,54;182,81;0;3412620,51;17,58;1915,63429;2320,840371;2024,922237;1885,675636;1651,72;20,73784258;0,796151178;238,9814058;0,496763395
