"departamento","piso_adec","paredes_adec","acueducto","alcantarillado","energia","gas_natural","internet","nevera","computador","afiliacion_salud","educ_superior","asistencia_esc","lit_adultos","sin_hacinamiento","sin_ipm"
"Bogotá D.C.",98.2,99.1,97.8,96.9,99.8,78.3,77.8,96.8,61.8,95.8,34.8,93.8,98.5,95.8,95.9
"Atlántico",90.4,93.8,92.6,87.9,99.2,61.9,59.7,90.9,42.9,92.9,21.9,88.9,96.5,92.9,91.1
"Valle del Cauca",88.3,92.7,90.1,84.1,99.1,54.8,58.1,89.7,41.8,91.2,20.8,87.8,96,92.2,89.2
"Antioquia",87.1,91.3,87.9,82.4,99.3,52.1,56.9,89.2,40.7,92.1,19.7,87.1,96.2,92.1,90.3
"Quindío",90.5,92.1,91.7,87.2,99.7,44.7,62.3,91.3,45.9,93.8,22.8,89.7,97.2,94.2,92.8
"Risaralda",89.1,91.5,89.8,84.3,99.8,41.9,59.8,89.8,43.8,92.7,21.7,88.8,97,93.1,91.9
"Caldas",85.3,88.2,85.9,79.8,99.1,37.8,54.7,86.9,39.7,91.1,18.9,86.9,96.5,92.9,90.2
"San Andrés",82.1,85.4,87.6,83.2,99.2,9.8,49.8,85.7,37.9,89.2,17.8,84.8,95.9,90.8,87.9
"Santander",86.2,89.7,84.3,79.7,99.2,48.2,51.7,87.8,37.8,92.8,19.8,86.7,97.2,93.2,91.3
"Meta",78.4,83.1,77.8,72.8,98.3,22.3,39.8,81.9,29.8,89.7,14.9,83.8,95.5,90.9,87.1
"Casanare",79.1,84.2,77.2,72.3,98.7,18.1,38.2,82.7,27.9,90.8,12.8,82.9,95.8,90.2,86.3
"Cundinamarca",83.5,87.3,82.1,77.4,98.9,30.2,44.9,85.8,33.7,91.7,16.9,85.7,96.5,92.1,89.2
"Boyacá",80.2,83.8,78.9,73.1,97.8,25.3,37.9,81.7,27.8,90.1,14.8,83.7,96,91.1,87.3
"Tolima",77.8,82.1,76.8,70.8,97.9,28.1,36.8,79.8,26.9,88.9,13.9,82.8,94.5,90.2,85.1
"Nte. de Santander",81.3,84.7,80.7,74.6,98.1,34.7,39.7,82.7,29.7,89.7,15.8,83.9,95.5,91.2,87.2
"Huila",77.1,80.3,75.8,69.9,97.8,27.2,35.9,78.9,25.8,88.8,13.7,81.8,94.2,89.1,84.3
"Arauca",68.4,72.5,65.3,57.9,96.9,11.9,24.7,72.1,17.9,86.9,9.9,78.8,92.5,86.2,78.2
"Caquetá",65.1,69.3,62.8,55.7,96.2,8.2,22.8,69.2,15.8,85.8,8.8,77.9,92,85.1,77.1
"Putumayo",63.2,67.1,60.2,53.4,95.3,6.1,19.9,65.9,13.9,84.9,7.8,76.8,91.5,83.2,74.2
"Cesar",67.5,71.4,64.7,57.8,96.8,14.8,24.8,70.3,17.8,86.8,9.9,78.7,91.8,84.9,77.3
"Magdalena",64.3,68.9,61.9,55.1,96.1,11.9,21.8,66.8,14.9,85.7,8.7,77.8,91,83.8,75.2
"Bolívar",68.2,72.8,65.8,59.7,97.2,19.7,27.1,71.8,19.7,86.9,11.8,78.7,92.2,86.1,79.1
"Sucre",62.1,65.7,59.7,52.8,95.3,9.8,20.9,64.9,13.8,84.8,7.9,76.9,90.5,82.9,74.3
"Córdoba",60.5,64.2,57.9,51.2,95.1,8.1,18.8,62.8,12.9,83.9,7.8,75.1,89.8,81.8,72.1
"Nariño",61.2,65.1,58.7,51.8,93.8,8.7,19.7,63.7,12.8,84.8,7.7,75.8,90.2,83.1,73.2
"Cauca",59.4,63.4,55.9,49.3,92.9,7.2,17.2,60.9,11.2,82.9,6.9,73.9,89.5,81.2,70.3
"La Guajira",54.1,62.8,51.8,48.7,91.2,3.9,17.8,63.8,10.8,79.8,6.8,73.8,86,73.1,60.2
"Chocó",47.2,56.9,46.7,18.9,88.7,0.2,14.9,58.7,9.8,81.9,6.7,75.7,87.8,74.8,58.3
"Amazonas",43.5,49.8,39.8,33.2,84.9,0.1,10.8,53.8,7.9,78.9,5.8,72.1,85,72.2,54.1
"Vaupés",38.1,43.7,32.7,26.1,78.3,0.1,7.9,46.1,5.8,74.8,4.9,68.7,81,68.1,48.2
"Guainía",36.2,42.1,31.2,23.8,75.8,0.1,6.8,43.8,4.9,73.2,3.9,66.9,80,66.2,45.3
"Guaviare",55.3,59.7,71.7,67.9,95.1,4.9,21.7,77.9,14.8,87.9,10.8,81.8,91,83.3,76.2
"Vichada",33.4,39.8,27.9,21.7,72.9,0.1,5.9,39.8,3.9,70.8,3.7,64.8,79,65.1,42.1
