Pais;muchis.;mucho;no_mucho;nada;no_sabe;no_resp.
Argentina;17;176;427;365;16;1
Brasil;208;678;404;408;60;4
Chile;43;258;443;235;19;2
Colombia;96;105;885;434;0;0
Ecuador;90;394;460;237;19;0
Mexico;105;280;552;778;23;1
Peru;25;110;389;861;10;6
Australia;254;814;569;155;0;21
Austria;332;860;361;77;17;4
Bulgaria;40;187;717;550;54;18
Canada;375;2;1;324;0;0
Croacia;36;168;618;623;36;12
Chipre;101;391;347;113;40;7
Chequia;117;563;736;303;86;24
Dinamarca;861;2;536;85;41;5
Estonia;142;606;358;71;112;15
Finlandia;241;721;201;34;19;3
Francia;189;907;525;211;47;1
Alemania;549;2;952;195;119;15
Grecia;130;580;353;119;11;7
Hungria;156;578;509;234;31;11
Islandia;155;826;535;86;26;5
Italia;125;785;944;372;42;14
Lituania;79;616;537;101;112;8
Paises Bajos;205;1;802;151;135;5
Nueva Zelanda;213;504;247;39;20;0
Noruega;299;666;131;15;13;0
Polonia;62;413;532;249;94;8
Portugal;78;515;386;187;32;3
Rumania;323;833;928;598;168;23
Serbia;123;613;1;622;95;30
Eslovaquia;72;415;615;302;12;20
Eslovenia;50;187;547;268;22;6
Espana;155;414;447;180;8;5
Suecia;219;692;218;39;29;1
Suiza;317;2;787;126;44;19
R  Unido;317;819;521;104;31;1
E Unidos;289;1;909;173;3;27
